ID,Tweet,Sentiment
1053454206336724993,RT @KyleBusch: The #Halloween helmet is back! 🎃 And it can be yours when I’m finished with it. Get your tickets now at https://t.co/25PTaOn…,0
1053454195729125376,RT @TheRealElvira: You’ll be happy to know that in a parallel universe Laurie Strode LOVES Halloween night! 🎃👍🏻👍🏻 @jamieleecurtis #tbt #Hal…,1
1053454179644178433,The Other Side of the Door was tonight's movie. #horror #halloween,0
1053454177127387136,CTHULHU DEEP DOWN UNDER @IFWGAustralia is great! Thank you @SilvBrownWriter for sending it to me. Your story was he… https://t.co/cHhakHFbVO,1
1053454168126418944,"RT @DBD_tsubuyaki: ハロウィンイベント始まりましたよっと🎃

#デッドバイデイライト
#DeadbyDaylight 
#Halloween https://t.co/uujz0TUojO",0
1053454166377553921,This is it. This is the height of my photography. No picture I ever take will be better than this. 🎃🍂 #pumpkinspice… https://t.co/ezlX4zivLX,1
1053454162208403463,"RT @AndyPriceArt: “The undead surround me. Have you ever talked to a corpse? It's boring! I'm lonely! Kill yourself, David, before you kill…",-1
1053454161696542720,El festival de la calabaza organizado por @UtahFosterCare reunió a decenas de familias en el centro comercial The G… https://t.co/RUStx69r19,0
1053454161365422080,"One of our favourite’s tiny artists, rocking her 🦄. Stay tuned for #halloween programming for the little ones. 🎃 Mo… https://t.co/sX9JxQUAYp",1
1053454152741896194,"Right?! #halloween is our very favorite day of the year!

We're sure there must be a reason for that. 🤔 https://t.co/HJzAlgjn9V",1
1053454144575553537,"Inktober Day Nineteen - Scorched
inktober #inktober #Inktober2018 #penandink sketchchallenge #halloween #GuildDraws… https://t.co/qGnIZijiGP",0
1053454144332132352,"RT @shleltero: 💀👿#Halloween 便乗企画 💀👿

抽選でDavy Jonesの島の #拡張アート が1名様に当たる! 
①当アカウント(@shleltero)をフォロー
②本ツイートをRTで応募完了!

期間：10月26日(金)24:00迄
当選発表は1…",0
1053454140809064448,"RT @NYounker: When your daughter says she wants to be Ripley for #halloween, you do as you're told!
#Horror https://t.co/ZD1txyyOcX",0
1053454139437522944,"Ya falta poco para #halloween 👻👻😜
. 
. 
. 
. 
. 
. 
#instaboy #instame #tumblrboy #alternariveboy #painting… https://t.co/vAMRObN7My",0
1053454123272556544,"More Halloween 🎃 decorations. To be honest, this is up year round. Giant skull in a black fez. #horseandanchor… https://t.co/G0ZLeDtYqL",0
1053454117429886976,"Is Dr. Butler saying ""ghost"" a lot because it is late October? I'd like to think that. #Halloween #ASAC18",0
